date,horizon,rate,std
1996-11-01,1,3.9581144074241217,0.26673771445789657
1996-11-01,2,4.083295336811291,0.24140778305120494
1996-11-01,3,4.207800544313825,0.21640038243573667
1996-11-01,4,4.331292225290181,0.1918638351122855
1996-11-01,5,4.453432575098808,0.16798570777988187
1996-11-01,6,4.573883789098167,0.1450172203752571
1996-11-01,7,4.692308062646708,0.12331368099823282
1996-11-01,8,4.8083675911028925,0.10339739417080523
1996-11-01,9,4.921724569825172,0.08604386097221915
1996-11-01,10,5.0320411941720025,0.07238898249313486
1996-11-01,11,5.13897965950184,0.06406164569315807
1996-11-01,12,5.2422021611731395,0.06294504103291282
1996-11-01,13,5.341370894544355,0.06929294181428464
1996-11-01,14,5.436148054973946,0.08063853455001992
1996-11-01,15,5.526195837820363,0.09433439067755857
1996-11-01,16,5.611184715982593,0.10881289729861611
1996-11-01,17,5.690876578182963,0.12325888944823458
1996-11-01,18,5.7651800679104905,0.13724606748089782
1996-11-01,19,5.834118908580326,0.15054803853026388
1996-11-01,20,5.89780313499066,0.1630482256179066
1996-11-01,21,5.956408543971961,0.1746948039944831
1996-11-01,22,6.0101617491498835,0.18547655253395834
1996-11-01,23,6.059329134296157,0.19540905876837789
1996-11-01,24,6.104208568226719,0.2045263835557441
1996-11-01,25,6.145123108044716,0.2128757746319302
1996-11-01,26,6.182416155425447,0.22051417165822138
1996-11-01,27,6.216447689242509,0.2275058122818736
1996-11-01,28,6.247591305459541,0.2339205422862347
1996-11-01,29,6.276231869437038,0.23983259225143963
1996-11-01,30,6.302763637762142,0.24531967337031763
1997-05-01,1,4.013821927653598,0.3364381764248535
1997-05-01,2,4.144385505148569,0.3040011986380187
1997-05-01,3,4.27424430542962,0.27189025943665657
1997-05-01,4,4.403045998611432,0.2402657949438321
1997-05-01,5,4.530438254808695,0.20932599497736612
1997-05-01,6,4.6560687441360935,0.17933345557024427
1997-05-01,7,4.779585136708311,0.15066554272730462
1997-05-01,8,4.90063510264004,0.1239118881576053
1997-05-01,9,5.018866312045961,0.10006220903485714
1997-05-01,10,5.133926435040761,0.08084600974100105
1997-05-01,11,5.245463141739126,0.06916722350209226
1997-05-01,12,5.3531241022557445,0.06837796324581884
1997-05-01,13,5.4565569867053005,0.07812475889241144
1997-05-01,14,5.55540946520248,0.09401278209407127
1997-05-01,15,5.649329207861968,0.11247720496901939
1997-05-01,16,5.737972518264507,0.13164600353471315
1997-05-01,17,5.82109104659829,0.1505776399897457
1997-05-01,18,5.898589508118587,0.16879066436303453
1997-05-01,19,5.970492646322417,0.1860366163394965
1997-05-01,20,6.0369152273883895,0.20219350618800003
1997-05-01,21,6.098040607225512,0.2172133414341744
1997-05-01,22,6.154105143606641,0.23109437155971463
1997-05-01,23,6.205386674525111,0.24386537793731175
1997-05-01,24,6.25219587684218,0.25557623259520884
1997-05-01,25,6.294869698776164,0.2662919237666312
1997-05-01,26,6.333766307912675,0.276088605163385
1997-05-01,27,6.369261161837701,0.2850508842443535
1997-05-01,28,6.401743920747804,0.29326990156812976
1997-05-01,29,6.431615998808595,0.30084193440223495
1997-05-01,30,6.4592886052251774,0.3078673595463251
1997-10-01,1,3.6753166682596157,0.3891297004360162
1997-10-01,2,3.793045065331512,0.35272232092485445
1997-10-01,3,3.9101379690041,0.3166503942254077
1997-10-01,4,4.026277685526689,0.2810783648730103
1997-10-01,5,4.141146521148581,0.2462035451090607
1997-10-01,6,4.254426782119081,0.21227791708233387
1997-10-01,7,4.365800774687495,0.17964754234385122
