date,co_num,horizon,rate,std
1989-01-01,62898,10,7.116276888439262,0.10360992706084896
1989-01-01,62898,11,7.225234294317992,0.10659089647362108
1989-01-01,62898,12,7.33040558114849,0.11956402293917236
1989-01-01,62898,13,7.431446566719773,0.13883794684823808
1989-01-01,62898,14,7.528013068820856,0.16131212160875544
1989-01-01,62898,15,7.619760905240754,0.18502365508610538
1989-01-01,62898,16,7.7063543275845126,0.20880772777383258
1989-01-01,62898,17,7.787550729161962,0.23197673136222258
1989-01-01,62898,18,7.8632570287004615,0.25413487665519857
1989-01-01,62898,19,7.933497397500449,0.275061449013304
1989-01-01,62898,20,7.9983839477577545,0.2946441068066537
1989-01-01,62898,21,8.058095795252195,0.31284054704203945
1989-01-01,62898,22,8.112863831952449,0.32965559856913407
1989-01-01,62898,23,8.16295947081219,0.34512696224572953
1989-01-01,62898,24,8.208686204249942,0.3593159831573042
1989-01-01,62898,25,8.250373188512723,0.3723014655392229
1989-01-01,62898,26,8.288370308514253,0.3841753957934169
1989-01-01,62898,27,8.323044339335103,0.39503990313653287
1989-01-01,62898,28,8.354775930229216,0.4050050482432861
1989-01-01,62898,29,8.383957212607514,0.4141871818273665
1989-01-01,62898,30,8.410989886408867,0.42270770602731056
1989-01-01,63207,1,5.649350276713426,0.17412066841531817
1989-01-01,63207,2,5.777517191578946,0.15720255078403378
1989-01-01,63207,3,5.904992266324047,0.14055636593058163
1989-01-01,63207,4,6.031429638532264,0.12430454036047102
1989-01-01,63207,5,6.156483445787122,0.10860851020767015
1989-01-01,63207,6,6.27980782567215,0.09369456287800311
1989-01-01,63207,7,6.401056915770874,0.07989861468283832
1989-01-01,63207,8,6.519884853666823,0.06773857352078902
1989-01-01,63207,9,6.635945776943526,0.05800193012761633
1989-01-01,63207,10,6.748893823184512,0.05173605272398864
1989-01-01,63207,11,6.8583831299733085,0.04986066407193922
1989-01-01,63207,12,6.964067834893442,0.052422378284033726
1989-01-01,63207,13,7.065602075528445,0.058427086427216175
1989-01-01,63207,14,7.16263998946184,0.06655880470088361
1989-01-01,63207,15,7.254835714277161,0.07576909234694279
1989-01-01,63207,16,7.341851862545595,0.08536764553379876
1989-01-01,63207,17,7.423444643236008,0.09492953537994497
1989-01-01,63207,18,7.499520520677888,0.10420292070818124
1989-01-01,63207,19,7.570103784169491,0.11304190637863412
